Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day,
01/03/1997,Ash,,Astoria,£10.00,Ashtoria,Stem,N,,,01/03/1997Astoria,Astoria,1997,3,1,01/03/1997
28/08/1997,V97,,Hylands Park,£50.00,First festival,Meds / Rob / Stem / Kate / Dev,Y,Stereophonics / Radish / Blur / Prodigy,,28/08/1997Hylands Park,Hylands Park,1997,8,28,28/08/1997
29/09/1997,Fountains of Wayne,,LA2,£7.50,"Met Stewart Lee in the bar, ticket signed by him and Chris Collingwood",Dev / Stem,N,,,29/09/1997Astoria 2,Astoria 2,1997,9,29,29/09/1997
31/01/1998,Green Day,,Brixton Academy,£10.00,,Dev / Stem / Paul G / Wellings,N,,,31/01/1998Brixton Academy,Brixton Academy,1998,1,31,31/01/1998
24/01/1998,Midget,Idlewild,The Forum,£3.00,,Dev / Stem,N,,,24/01/1998The Forum,The Forum,1998,1,24,24/01/1998
27/02/1998,Catherine Wheel,,The Forum,£3.00,Dev's birthday outing,Dev / Stem / Kate,N,,,27/02/1998The Forum,The Forum,1998,2,27,27/02/1998
12/03/1998,Urusei Yatsura,,Hanover Grand,£6.00,"It was over 18s and they were ID'ing people, I wasn't 18 for another 2 weeks so was worried about getting in.",Dev / Stem/ Wellings,N,,,12/03/1998Hanover Grand,Hanover Grand,1998,3,12,12/03/1998
27/05/1998,Symposium,,Astoria,£7.00,,Dev / Stem,N,,,27/05/1998Astoria,Astoria,1998,5,27,27/05/1998
19/06/1998,Grimsby,Adagio,The Coach House,£-,"Med's band, supported by Adagio (Oli Pluck's band)",Meds / Stem / Dev / Kate,N,,,19/06/1998The Coach House Public House,The Coach House Public House,1998,6,19,19/06/1998
23/06/1998,Glastonbury Festival,,Worthy Farm,£80.00,Muddy. Camped with Clair who we met in Newquay.,Dev / Stem / Sally / Wellings,Y,Blur / Primal Scream / Robbie Williams / Pulp / Bob dylan / Chemical Brothers,,23/06/1998Worthy Farm,Worthy Farm,1998,6,23,23/06/1998
28/08/1998,Reading Festival,,Richfield Avenue,£75.00,,Dev / Stem / Miller / Sally,Y,Deftones / Ash / Beastie Boys / Prodigy / Grandaddy / Yo La Tengo / Idlewild / Snug / Llama Farmers / Fungus,,28/08/1998Little John's Farm,Little John's Farm,1998,8,28,28/08/1998
09/04/1999,Snug,,West End Centre,£5.00,Bootlegged into Dev's dictaphone. Nearly got thrown out because security thought we were doing drugs in the toilet (we were actually setting up the mic),Dev / Stem / Meds,N,,,09/04/1999West End Centre,West End Centre,1999,4,9,09/04/1999
23/06/1999,Glastonbury Festival,,Worthy Farm,£83.00,"Sunny, met Stem whilst crowd surfing during Skunk Anansie",Dev / Stem / Miller,Y,REM / Fatboy Slim / Skunk Anansie / Lonnie Donegan / Fun Lovin' Criminals / Ash / Elliot Smith / Dogstar / Fungus / Ultrasound,,23/06/1999Worthy Farm,Worthy Farm,1999,6,23,23/06/1999
27/08/1999,Reading Festival,,Richfield Avenue,£78.00,"Video on Symposium single CD of ""Hard Day's Night"" performance has me crowd surfing",Dev / Will / Stem / Phil,Y,The Chemical Brothers / BIS / The Dandy Warhols / Blur / Fun Lovin' Criminals / Beth Orton / Sebadoh / Sleater Kinney / Idlewild / Symposium / The Offspring / Feeder / Fountains of Wayne,,27/08/1999Little John's Farm,Little John's Farm,1999,8,27,27/08/1999
22/12/1999,Snug,,Water Rats,£4.00,Acoustic,Dev / Stem / Meds,N,,,22/12/1999Monto Water Rats,Monto Water Rats,1999,12,22,22/12/1999
